,NORMAL_STATUS,WATER_PHYSICAL,NORMAL_PHYSICAL,POISON_PHYSICAL,WATER_SPECIAL,PSYCHIC_STATUS,FIGHTING_PHYSICAL,DARK_PHYSICAL,FLYING_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,ICE_STATUS,DARK_SPECIAL,FLYING_STATUS,ROCK_PHYSICAL,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,POISON_STATUS,ROCK_STATUS,GROUND_PHYSICAL,ICE_PHYSICAL,DRAGON_SPECIAL,GRASS_STATUS,PSYCHIC_PHYSICAL,GHOST_SPECIAL,FIRE_STATUS,DARK_STATUS,GROUND_SPECIAL
water_bug&fighting,-118.5,-59.0,-86.1,0.0,-85.3,0.0,0.0,0.0,0.0,0.0,0.0,-106.5,-111.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel&psychic_bug&fighting,-217.1,0.0,-170.2,0.0,0.0,-251.4,0.0,0.0,0.0,0.0,-207.0,0.0,-175.7,0.0,0.0,-102.9,-132.9,-150.4,0.0,0.0,0.0,0.0,0.0,-194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel&psychic_normal&flying,-94.8,-45.1,-121.9,0.0,-33.9,-99.8,-44.6,-12.5,-5.5,0.0,-33.3,-12.0,-67.6,0.0,-34.8,60.1,-94.3,-128.4,0.0,0.0,0.0,0.0,0.0,-143.4,-15.5,0.0,0.0,-6.8,0.0,-30.9,0.0,-7.6
steel&psychic_water,70.7,0.0,507.8,0.0,0.0,147.7,0.0,0.0,0.0,0.0,357.3,0.0,-2.4,0.0,0.0,247.4,262.2,13.6,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0
psychic&fighting_normal&flying,0.0,0.0,0.0,0.0,0.0,12.4,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0
psychic&fighting_fighting,0.0,0.0,0.0,0.0,0.0,106.2,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.4,0.0,0.0,0.0,0.0
psychic&fighting_steel&psychic,0.0,0.0,46.7,0.0,0.0,-22.4,250.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.1,0.0,0.0,0.0,0.0
rock&flying_water&poison,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,544.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&poison_steel&psychic,40.4,137.3,6.8,25.5,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&poison_fighting,5.5,-5.1,0.0,53.3,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&dark_steel&psychic,-15.8,-17.6,0.0,-15.8,-13.7,0.0,-211.2,0.0,0.0,0.0,0.0,-15.8,-40.6,0.0,-19.6,0.0,0.0,0.0,-104.7,-119.8,-187.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass&fighting_grass&fighting,166.4,0.0,28.9,-5.6,0.0,47.7,377.0,51.6,0.0,0.0,245.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.9,0.0,12.8,0.0,0.0,0.0
steel&psychic_grass&fighting,-5.4,0.0,168.9,0.0,0.0,-51.3,0.0,0.0,0.0,0.0,429.8,0.0,8.4,0.0,0.0,100.5,325.4,30.3,0.0,0.0,0.0,0.0,0.0,261.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghost&dark_grass&fighting,420.6,0.0,0.0,0.0,0.0,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.7,164.8,0.0,0.0
